# uid	record id
# tag_id	transmitter ID number
# utc	universal time coordinate
# lc	location class, see http://www.nacls.com/html/argos/manual/html/chap2/chap2_3.htm#2.3.5
# iq	quality index, see http://www.nacls.com/html/argos/manual/html/chap4/chap4_4_9.htm#4.4.9.3 
# lat1	solution1 latitude
# lon1	solution1 longitude
# lat2	solution2 latitude
# lon2	solution2 longitude
# nb_mes	number of messages received
# big_nb_mes	number of messages received by satellite with signal strength greater than -120 decibels
# best_level	strongest signal strength received
# pass_duration	time elapsed between first and last messages being received by satellite
# nopc	number of successful plausibility checks (0 to 4)
# calcul_freq	calculated transmit frequency 
# altitude	altitude used in location calculation
uid	tag_id	utc	lc	iq	lat1	lon1	lat2	lon2	nb_mes	big_nb_mes	best_level	pass_duration	nopc	calcul_freq	altitude
20616	29051	7/3/2003 9:13	3	66	33.898	-77.958	27.369	-46.309	6	0	-126	529	3	401 651134.7	0
21892	29051	7/3/2003 9:23	B	0	33.887	-77.95	43.983	-128.418	2	0	-132	96	1	401 651133.1	0
20618	29051	7/3/2003 10:31	A	6	33.884	-77.946	22.875	-25.276	3	0	-132	320	3	401 651169.3	0
20619	29051	7/3/2003 10:49	A	7	33.927	-78.008	37.291	-94.435	3	0	-125	260	2	401 651166.8	0
20620	29051	7/3/2003 12:10	2	67	33.901	-77.909	31.005	-64.614	4	0	-124	612	3	401 651181.6	0
20621	29051	7/3/2003 12:11	B	0	33.575	-77.691	32.741	-73.276	2	0	-126	408	2	401 651134.7	0
20624	29051	7/3/2003 14:45	B	0	33.84	-77.807	26.446	-41.968	2	0	-134	151	2	401 651134.7	0
20627	29051	7/3/2003 16:28	B	0	33.794	-77.513	36.337	-89.9	2	0	-130	281	2	401 651134.7	0
20629	29051	7/3/2003 17:02	A	8	33.95	-77.804	36.8	-91.697	3	0	-121	186	3	401 651176.7	0
20630	29051	7/3/2003 17:29	B	0	33.965	-77.984	42.107	-38.299	2	0	-127	237	2	401 651134.7	0
20631	29051	7/3/2003 19:07	0	58	33.989	-77.698	32.239	-86.421	4	0	-125	514	3	401 651179.0	0
21893	29051	7/3/2003 22:11	B	0	34.028	-77.74	30.15	-96.516	2	0	-124	191	2	401 651179.0	0
20639	29051	7/4/2003 2:32	B	0	34.117	-77.735	36.995	-63.539	2	0	-127	143	2	401 651179.0	0
20640	29051	7/4/2003 3:42	B	0	34.136	-77.725	31.25	-91.766	2	0	-126	53	2	401 651179.0	0
20767	29051	7/4/2003 9:13	A	0	34.208	-77.734	43.417	-122.782	3	0	-130	459	3	401 651187.3	0
20771	29051	7/4/2003 13:29	B	0	34.264	-77.717	40.551	-109.766	2	0	-130	48	2	401 651187.3	0
20779	29051	7/4/2003 18:49	B	0	34.77	-76.784	33.747	-82.418	2	0	-130	50	2	401 651187.3	0
20783	29051	7/5/2003 0:47	B	0	34.323	-77.652	27.317	-112.432	2	0	-125	350	2	401 651187.3	0
20787	29051	7/5/2003 3:54	B	0	34.379	-77.679	28.163	-101.666	2	0	-129	68	2	401 651187.3	0
20922	29051	7/5/2003 9:59	B	0	34.37	-77.652	31.852	-69.867	2	0	-124	138	2	401 651187.3	0
20923	29051	7/5/2003 11:28	B	0	34.346	-77.466	29.003	-50.679	2	0	-127	49	2	401 651187.3	0
20929	29051	7/5/2003 17:48	A	0	34.523	-77.428	46.047	-134.915	3	0	-136	348	0	401 651204.3	0
22261	29051	7/6/2003 0:26	B	0	34.557	-77.58	28.783	-101.778	2	0	-128	48	2	401 651204.3	0
21092	29051	7/6/2003 3:59	A	8	34.535	-77.268	33.131	-83.914	3	0	-124	306	2	401 651189.6	0
22431	29051	7/6/2003 9:37	A	0	34.577	-77.1	30.894	-59.699	3	0	-123	438	3	401 651173.5	0
21095	29051	7/6/2003 11:03	B	0	34.587	-77.062	27.077	-39.933	2	0	-131	77	2	401 651173.5	0
21097	29051	7/6/2003 11:29	B	0	34.609	-76.958	27.598	-46.305	2	0	-128	70	2	401 651173.5	0
22432	29051	7/6/2003 12:43	B	0	34.643	-77.07	36.809	-87.294	2	0	-128	556	2	401 651173.5	0
21099	29051	7/6/2003 14:03	B	0	34.619	-77.036	24.133	-27.964	2	0	-133	158	2	401 651173.5	0
21101	29051	7/6/2003 15:47	0	58	34.711	-77.318	34.44	-76.047	4	0	-121	418	2	401 651170.6	0
21106	29051	7/6/2003 18:33	0	58	34.671	-76.942	35.827	-71.274	5	0	-125	730	3	401 651164.9	0
21108	29051	7/6/2003 20:55	3	68	34.677	-76.856	37.59	-62.779	4	0	-124	545	3	401 651176.8	0
21109	29051	7/6/2003 22:18	A	8	34.672	-76.821	41.148	-42.947	3	0	-130	560	3	401 651176.2	0
22433	29051	7/6/2003 22:57	B	0	34.692	-76.77	39.583	-54.242	2	0	-125	48	2	401 651176.8	0
22434	29051	7/6/2003 23:56	B	0	34.682	-76.74	31.909	-90.632	2	0	-122	49	2	401 651176.8	0
21113	29051	7/7/2003 1:27	A	8	34.687	-76.736	43.881	-31.986	3	0	-131	187	2	401 651173.6	0
21114	29051	7/7/2003 2:27	A	8	34.702	-76.709	39.199	-58.098	3	0	-134	706	3	401 651172.9	0
21115	29051	7/7/2003 3:04	B	0	34.655	-76.693	33.945	-80.344	2	0	-128	437	2	401 651172.9	0
21116	29051	7/7/2003 4:11	A	8	34.678	-76.677	28.76	-104.508	3	0	-128	220	2	401 651169.0	0
21117	29051	7/7/2003 7:01	B	0	34.652	-76.637	31.074	-59.333	2	0	-123	48	2	401 651172.9	0
21255	29051	7/7/2003 10:38	A	8	34.59	-76.594	24.919	-29.055	3	0	-130	328	3	401 651171.8	0
21256	29051	7/7/2003 12:19	B	0	34.575	-76.574	34.653	-76.962	2	0	-122	48	2	401 651172.9	0
21259	29051	7/7/2003 15:25	A	8	34.525	-76.551	32.27	-66.01	3	0	-122	481	2	401 651158.4	0
